Day,Platform,TSM: Platform,TSM: Audience,TSM: Customer Type,TSM: Product Type,TSM: Ad Type,TSM: Ad Content,TSM: Sales Kind,TSM: Platform Objective,TSM: Buying Objective,Spend,Impressions,Link Clicks,Video Views,TSM: Total Shopify Sales,TSM: Total Units Sold
16/10/2021,Facebook,Facebook,,,,Video,,,Conversion Campaign,LINK_CLICKS,0.11,9,0,0,0,0
16/10/2021,Facebook,Facebook,,,"'-,Hats",Carousel,,order,Conversion Campaign,PRODUCT_CATALOG_SALES,22.43,957,10,0,54.95,1
16/10/2021,Facebook,Facebook,,,"'-,Hats",Product Feed - Carousel,,order,Conversion Campaign,PRODUCT_CATALOG_SALES,271.1,13774,79,0,105.9,2
16/10/2021,Facebook,Facebook,,,"'-,Sweatshirts",Collection,,order,Conversion Campaign,CONVERSIONS,16.49,411,9,0,481.25,4
16/10/2021,Facebook,Facebook,,,"'-,Sweatshirts",Product Feed - Image,,order,Conversion Campaign,CONVERSIONS,18.11,460,3,0,134.06,1
16/10/2021,Facebook,Facebook,,,"'-,T-Shirts",Product Feed - Image,,order,Conversion Campaign,CONVERSIONS,3.83,142,4,0,105.9,1
16/10/2021,Google Ads,Google Ads Display,Image ad,,,Image ad,,,Conversion Campaign,Maximize Conversions,5.73,1510,4,0,0,0
16/10/2021,Google Ads,Google Ads Display,Responsive display ad,,,Responsive display ad,,,Conversion Campaign,Maximize Conversions,13.58,8633,58,0,0,0
16/10/2021,Google Ads,Google Discovery,,,,,,,Conversion Campaign,Target CPA,115.32,61547,277,0,0,0
16/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target CPA,13.5,54,10,0,0,0
16/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target ROAS,5.88,31,7,0,0,0
16/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Maximize Conversion Value,108.32,284,51,0,0,0
16/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Target ROAS,121.07,1423,41,0,0,0
16/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,T-Shirts",Expanded text ad,520986452094,order,Conversion Campaign,Maximize Conversion Value,73.72,143,14,0,67.95,1
16/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,T-Shirts",Expanded text ad,521234863371,order,Conversion Campaign,Maximize Conversion Value,52.45,115,11,0,205.92,4
16/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Maximize Conversion Value,135.61,572,58,0,0,0
16/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Target ROAS,112.25,1573,44,0,0,0
